,TABELA_DESTINO,TABELA_ORIGEM,TABELA_ORIGEM_SISTEMA,SISTEMA,ASSUNTO
14662,ARQ_PREV_FRD_PRODUTO_2430,RL_FRAUDE_CHAMADOS_JURIDICO,RL_CANAIS_SAC_ACESSO_USUARIO;RL_CANAIS_SAC_ATEND_TIPO;RL_FRAUDE_CHAMADOS_JURIDICO;RL_FRAUDE_CHAMADOS;RL_FRAUDE_PARECER,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14663,ARQ_PREV_FRD_REGRA_8_9,RL_CGO_COMISS_CALCULADAS,RL_CGO_COMISSIONADO;RL_CGO_COMISS_CALCULADAS;RL_CGO_CTRO,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14664,ARQ_PREV_FRD_REGRA_8_9,RL_CGO_COMISSIONADO,RL_CGO_COMISSIONADO;RL_CGO_COMISS_CALCULADAS;RL_CGO_CTRO,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14665,ARQ_PREV_FRD_REGRA_8_9,RL_CGO_CTRO,RL_CGO_COMISSIONADO;RL_CGO_COMISS_CALCULADAS;RL_CGO_CTRO,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14668,ARQ_PREV_FRD_REGRA_10,RL_INV_REQUISICOES,RL_INV_CARTEIRAS;RL_INV_CONDICOES;RL_INV_REQUISICOES,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14669,ARQ_PREV_FRD_REGRA_3,RL_PARC,RL_MOV_PARC;RL_PARC,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14675,ARQ_PREV_FRD_REGRA_22_2,RL_CGO_CONVENIO,RL_CGO_CONVENIO,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14678,RL_PREV_FRD_CONTA_CORRENTE,RL_FRAUDE_ANALISE_RESULTADO,RL_FRAUDE_ANALISE_ITEM;RL_FRAUDE_ANALISE_RESULTADO;RL_FRAUDE_ANALISE_TIPO;RL_FRAUDE_CHAMADOS,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14679,RL_PREV_FRD_CONTA_CORRENTE,RL_FRAUDE_ANALISE_ITEM,RL_FRAUDE_ANALISE_ITEM;RL_FRAUDE_ANALISE_RESULTADO;RL_FRAUDE_ANALISE_TIPO;RL_FRAUDE_CHAMADOS,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14684,RL_ATL_DADOS_INTEGRACAO,STG_ATL_DADOS_INTEGRACAO,STG_ATL_DADOS_INTEGRACAO,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14732,RL_BCD_ANALITICO_CLI_CTA_MOVTO,STG_BCD_ANALITICO_CLI_CTA_MOVTO,,AUTBANK,CONTA CORRENTE / INVESTIMENTOS
14753,RL_BCD_ANALITICO_CLI_CTA_MOVTO,,,AUTBANK,CONTA CORRENTE / INVESTIMENTOS
14766,ARQ_PREV_FRD_REGRA_3,RL_MOV_PARC,RL_MOV_PARC;RL_PARC,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14775,RL_ATL_DADOS_INTEGRACAO,,STG_ATL_DADOS_INTEGRACAO,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14777,RL_ATL_REGRAS_HISTORICO,STG_ATL_REGRAS_HISTORICO,STG_ATL_REGRA;STG_ATL_REGRAS_HISTORICO,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
14790,RL_ATL_REGRAS_HISTORICO,,STG_ATL_REGRA;STG_ATL_REGRAS_HISTORICO,PREVENCAO A FRAUDES,PREVENCAO A FRAUDES
